,000001.SZ
2019-01-09,108.0314
2019-01-10,108.0314
2019-01-11,108.0314
2019-01-14,108.0314
2019-01-15,108.0314
2019-01-16,108.0314
2019-01-17,108.0314
2019-01-18,108.0314
2019-01-21,108.0314
2019-01-22,108.0314
2019-01-23,108.0314
2019-01-24,108.0314
2019-01-25,108.0314
2019-01-28,108.0314
2019-01-29,108.0314
2019-01-30,108.0314
2019-01-31,108.0314
2019-02-01,108.0314
2019-02-11,108.0314
2019-02-12,108.0314
2019-02-13,108.0314
2019-02-14,108.0314
2019-02-15,108.0314
2019-02-18,108.0314
2019-02-19,108.0314
2019-02-20,108.0314
2019-02-21,108.0314
2019-02-22,108.0314
2019-02-25,108.0314
2019-02-26,108.0314
2019-02-27,108.0314
2019-02-28,108.0314
2019-03-01,108.0314
2019-03-04,108.0314
2019-03-05,108.0314
2019-03-06,108.0314
2019-03-07,108.0314
2019-03-08,108.0314
2019-03-11,108.0314
2019-03-12,108.0314
2019-03-13,108.0314
2019-03-14,108.0314
2019-03-15,108.0314
2019-03-18,108.0314
2019-03-19,108.0314
2019-03-20,108.0314
2019-03-21,108.0314
2019-03-22,108.0314
2019-03-25,108.0314
2019-03-26,108.0314
2019-03-27,108.0314
2019-03-28,108.0314
2019-03-29,108.0314
2019-04-01,108.0314
2019-04-02,108.0314
2019-04-03,108.0314
2019-04-04,108.0314
2019-04-08,108.0314
2019-04-09,108.0314
2019-04-10,108.0314
2019-04-11,108.0314
2019-04-12,108.0314
2019-04-15,108.0314
2019-04-16,108.0314
2019-04-17,108.0314
2019-04-18,108.0314
2019-04-19,108.0314
2019-04-22,108.0314
2019-04-23,108.0314
2019-04-24,108.0314
2019-04-25,108.0314
2019-04-26,108.0314
2019-04-29,108.0314
2019-04-30,108.0314
2019-05-06,108.0314
2019-05-07,108.0314
2019-05-08,108.0314
2019-05-09,108.0314
2019-05-10,108.0314
2019-05-13,108.0314
2019-05-14,108.0314
2019-05-15,108.0314
2019-05-16,108.0314
2019-05-17,108.0314
2019-05-20,108.0314
2019-05-21,108.0314
2019-05-22,108.0314
2019-05-23,108.0314
2019-05-24,108.0314
2019-05-27,108.0314
2019-05-28,108.0314
2019-05-29,108.0314
2019-05-30,108.0314
2019-05-31,108.0314
2019-06-03,108.0314
2019-06-04,108.0314
2019-06-05,108.0314
2019-06-06,108.0314
2019-06-10,108.0314
2019-06-11,108.0314
2019-06-12,108.0314
2019-06-13,108.0314
2019-06-14,108.0314
2019-06-17,108.0314
2019-06-18,108.0314
2019-06-19,108.0314
2019-06-20,108.0314
2019-06-21,108.0314
2019-06-24,108.0314
2019-06-25,108.0314
2019-06-26,109.1694
2019-06-27,109.1694
2019-06-28,109.1694
2019-07-01,109.1694
2019-07-02,109.1694
2019-07-03,109.1694
2019-07-04,109.1694
2019-07-05,109.1694
2019-07-08,109.1694
2019-07-09,109.1694
2019-07-10,109.1694
2019-07-11,109.1694
2019-07-12,109.1694
2019-07-15,109.1694
2019-07-16,109.1694
2019-07-17,109.1694
2019-07-18,109.1694
2019-07-19,109.1694
2019-07-22,109.1694
2019-07-23,109.1694
2019-07-24,109.1694
2019-07-25,109.1694
2019-07-26,109.1694
2019-07-29,109.1694
2019-07-30,109.1694
2019-07-31,109.1694
2019-08-01,109.1694
2019-08-02,109.1694
2019-08-05,109.1694
2019-08-06,109.1694
2019-08-07,109.1694
2019-08-08,109.1694
2019-08-09,109.1694
2019-08-12,109.1694
2019-08-13,109.1694
2019-08-14,109.1694
2019-08-15,109.1694
2019-08-16,109.1694
2019-08-19,109.1694
2019-08-20,109.1694
2019-08-21,109.1694
2019-08-22,109.1694
2019-08-23,109.1694
2019-08-26,109.1694
2019-08-27,109.1694
2019-08-28,109.1694
2019-08-29,109.1694
2019-08-30,109.1694
2019-09-02,109.1694
2019-09-03,109.1694
2019-09-04,109.1694
2019-09-05,109.1694
2019-09-06,109.1694
2019-09-09,109.1694
2019-09-10,109.1694
2019-09-11,109.1694
2019-09-12,109.1694
2019-09-16,109.1694
2019-09-17,109.1694
2019-09-18,109.1694
2019-09-19,109.1694
2019-09-20,109.1694
2019-09-23,109.1694
2019-09-24,109.1694
2019-09-25,109.1694
2019-09-26,109.1694
2019-09-27,109.1694
2019-09-30,109.1694
2019-10-08,109.1694
2019-10-09,109.1694
2019-10-10,109.1694
2019-10-11,109.1694
2019-10-14,109.1694
2019-10-15,109.1694
